fpr,tpr
1.311542113115421182e-01,3.821656050955414274e-01
1.311542113115421182e-01,3.853503184713376051e-01
1.312898413128984199e-01,3.853503184713376051e-01
1.312898413128984199e-01,3.885350318471337827e-01
1.318323613183236265e-01,3.885350318471337827e-01
1.318323613183236265e-01,3.917197452229299603e-01
1.326461413264614086e-01,3.917197452229299603e-01
1.326461413264614086e-01,3.949044585987261380e-01
1.345449613454496041e-01,3.949044585987261380e-01
1.345449613454496041e-01,3.980891719745223156e-01
1.386138613861386260e-01,3.980891719745223156e-01
1.386138613861386260e-01,4.012738853503184933e-01
1.394276413942764081e-01,4.012738853503184933e-01
1.394276413942764081e-01,4.044585987261146709e-01
1.401057914010579164e-01,4.044585987261146709e-01
1.401057914010579164e-01,4.076433121019108485e-01
1.428183914281839217e-01,4.076433121019108485e-01
1.428183914281839217e-01,4.108280254777070262e-01
1.447172114471721172e-01,4.108280254777070262e-01
1.447172114471721172e-01,4.140127388535032038e-01
1.449884714498847205e-01,4.140127388535032038e-01
1.449884714498847205e-01,4.171974522292993814e-01
1.474298114742981225e-01,4.171974522292993814e-01
1.474298114742981225e-01,4.203821656050955591e-01
1.483792214837922063e-01,4.203821656050955591e-01
1.483792214837922063e-01,4.235668789808917367e-01
1.486504814865048096e-01,4.235668789808917367e-01
1.486504814865048096e-01,4.267515923566879144e-01
1.489217414892174129e-01,4.267515923566879144e-01
1.489217414892174129e-01,4.299363057324840920e-01
1.506849315068493067e-01,4.299363057324840920e-01
1.506849315068493067e-01,4.331210191082802696e-01
1.514987115149871166e-01,4.331210191082802696e-01
1.514987115149871166e-01,4.394904458598726249e-01
1.533975315339753120e-01,4.394904458598726249e-01
1.533975315339753120e-01,4.426751592356688025e-01
1.535331615353316137e-01,4.426751592356688025e-01
1.535331615353316137e-01,4.458598726114649802e-01
1.603146616031466132e-01,4.458598726114649802e-01
1.603146616031466132e-01,4.490445859872611578e-01
1.605859216058592165e-01,4.490445859872611578e-01
1.605859216058592165e-01,4.522292993630573354e-01
1.611284416112844231e-01,4.522292993630573354e-01
1.611284416112844231e-01,4.554140127388535131e-01
1.650617116506171156e-01,4.554140127388535131e-01
1.650617116506171156e-01,4.585987261146496907e-01
1.668249016682490093e-01,4.585987261146496907e-01
1.668249016682490093e-01,4.617834394904458684e-01
1.675030516750305176e-01,4.617834394904458684e-01
1.675030516750305176e-01,4.649681528662420460e-01
1.683168316831683275e-01,4.649681528662420460e-01
1.683168316831683275e-01,4.681528662420382236e-01
1.695375016953750147e-01,4.681528662420382236e-01
1.695375016953750147e-01,4.713375796178344013e-01
1.713006917130069084e-01,4.713375796178344013e-01
1.713006917130069084e-01,4.745222929936305789e-01
1.761833717618337125e-01,4.745222929936305789e-01
1.761833717618337125e-01,4.777070063694267565e-01
1.810660518106605166e-01,4.777070063694267565e-01
1.810660518106605166e-01,4.808917197452229342e-01
1.814729418147294215e-01,4.808917197452229342e-01
1.814729418147294215e-01,4.840764331210191118e-01
1.822867218228672315e-01,4.840764331210191118e-01
1.822867218228672315e-01,4.872611464968152895e-01
1.835073918350739186e-01,4.872611464968152895e-01
1.835073918350739186e-01,4.904458598726114671e-01
1.844568018445680302e-01,4.904458598726114671e-01
1.844568018445680302e-01,4.936305732484076447e-01
1.864912518649125273e-01,4.936305732484076447e-01
1.864912518649125273e-01,4.968152866242038224e-01
1.870337718703377061e-01,4.968152866242038224e-01
1.870337718703377061e-01,5.000000000000000000e-01
1.871694018716940078e-01,5.000000000000000000e-01
1.871694018716940078e-01,5.031847133757961776e-01
1.886613318866133260e-01,5.031847133757961776e-01
1.886613318866133260e-01,5.063694267515923553e-01
1.897463718974637115e-01,5.063694267515923553e-01
1.897463718974637115e-01,5.127388535031847105e-01
1.904245219042452197e-01,5.127388535031847105e-01
1.904245219042452197e-01,5.191082802547770658e-01
1.909670419096704264e-01,5.191082802547770658e-01
1.909670419096704264e-01,5.222929936305732435e-01
1.913739319137393313e-01,5.222929936305732435e-01
1.913739319137393313e-01,5.254777070063694211e-01
1.935440119354401300e-01,5.254777070063694211e-01
1.935440119354401300e-01,5.286624203821655987e-01
1.944934219449342139e-01,5.286624203821655987e-01
1.944934219449342139e-01,5.318471337579617764e-01
1.947646819476468172e-01,5.318471337579617764e-01
1.947646819476468172e-01,5.350318471337579540e-01
1.963922419639224093e-01,5.350318471337579540e-01
1.963922419639224093e-01,5.382165605095541316e-01
1.988335819883358113e-01,5.382165605095541316e-01
1.988335819883358113e-01,5.414012738853503093e-01
2.007324020073240067e-01,5.414012738853503093e-01
2.007324020073240067e-01,5.445859872611464869e-01
2.058863420588634141e-01,5.445859872611464869e-01
2.058863420588634141e-01,5.477707006369426646e-01
2.073782720737827323e-01,5.477707006369426646e-01
2.073782720737827323e-01,5.509554140127388422e-01
2.091414620914146261e-01,5.509554140127388422e-01
2.091414620914146261e-01,5.541401273885350198e-01
2.100908721009087099e-01,5.541401273885350198e-01
2.100908721009087099e-01,5.573248407643311975e-01
2.125322121253221119e-01,5.573248407643311975e-01
2.125322121253221119e-01,5.605095541401273751e-01
2.151091821510918156e-01,5.605095541401273751e-01
