FPR,TPR
7.052760070527600011e-02,4.777070063694267565e-01
7.052760070527600011e-02,4.808917197452229342e-01
7.554591075545910583e-02,4.808917197452229342e-01
7.554591075545910583e-02,4.840764331210191118e-01
7.893666078936660557e-02,4.840764331210191118e-01
7.893666078936660557e-02,4.872611464968152895e-01
7.907229079072290723e-02,4.872611464968152895e-01
7.907229079072290723e-02,4.904458598726114671e-01
7.988607079886070328e-02,4.904458598726114671e-01
7.988607079886070328e-02,4.936305732484076447e-01
8.137800081378000761e-02,4.936305732484076447e-01
8.137800081378000761e-02,4.968152866242038224e-01
8.178489081784891257e-02,4.968152866242038224e-01
8.178489081784891257e-02,5.000000000000000000e-01
8.219178082191780366e-02,5.000000000000000000e-01
8.219178082191780366e-02,5.031847133757961776e-01
8.354808083548080633e-02,5.031847133757961776e-01
8.354808083548080633e-02,5.063694267515923553e-01
8.436186084361860238e-02,5.063694267515923553e-01
8.436186084361860238e-02,5.095541401273885329e-01
8.476875084768750734e-02,5.095541401273885329e-01
8.476875084768750734e-02,5.127388535031847105e-01
8.517564085175641231e-02,5.127388535031847105e-01
8.517564085175641231e-02,5.159235668789808882e-01
8.544690085446900174e-02,5.159235668789808882e-01
8.544690085446900174e-02,5.191082802547770658e-01
8.748135087481351269e-02,5.191082802547770658e-01
8.748135087481351269e-02,5.222929936305732435e-01
8.788824087888240377e-02,5.222929936305732435e-01
8.788824087888240377e-02,5.286624203821655987e-01
8.856639088566391205e-02,5.286624203821655987e-01
8.856639088566391205e-02,5.318471337579617764e-01
8.870202088702021370e-02,5.318471337579617764e-01
8.870202088702021370e-02,5.350318471337579540e-01
8.924454089244540644e-02,5.350318471337579540e-01
8.924454089244540644e-02,5.382165605095541316e-01
8.938017089380170810e-02,5.382165605095541316e-01
8.938017089380170810e-02,5.414012738853503093e-01
9.249966092499660453e-02,5.414012738853503093e-01
9.249966092499660453e-02,5.445859872611464869e-01
9.277092092770920784e-02,5.445859872611464869e-01
9.277092092770920784e-02,5.477707006369426646e-01
9.290655092906550949e-02,5.477707006369426646e-01
9.290655092906550949e-02,5.509554140127388422e-01
9.426285094262851216e-02,5.509554140127388422e-01
9.426285094262851216e-02,5.541401273885350198e-01
9.548352095483521318e-02,5.541401273885350198e-01
9.548352095483521318e-02,5.573248407643311975e-01
9.575478095754781649e-02,5.573248407643311975e-01
9.575478095754781649e-02,5.605095541401273751e-01
9.697545096975450363e-02,5.605095541401273751e-01
9.697545096975450363e-02,5.636942675159235527e-01
9.982368099823681062e-02,5.636942675159235527e-01
9.982368099823681062e-02,5.668789808917197304e-01
1.007730910077309083e-01,5.668789808917197304e-01
1.007730910077309083e-01,5.700636942675159080e-01
1.010443510104435116e-01,5.700636942675159080e-01
1.010443510104435116e-01,5.732484076433120856e-01
1.022650210226502127e-01,5.732484076433120856e-01
1.022650210226502127e-01,5.764331210191082633e-01
1.025362810253628160e-01,5.764331210191082633e-01
1.025362810253628160e-01,5.796178343949044409e-01
1.028075410280754054e-01,5.796178343949044409e-01
1.028075410280754054e-01,5.859872611464967962e-01
1.048419910484199163e-01,5.859872611464967962e-01
1.048419910484199163e-01,5.891719745222929738e-01
1.051132510511325058e-01,5.891719745222929738e-01
1.051132510511325058e-01,5.923566878980891515e-01
1.055201410552014107e-01,5.923566878980891515e-01
1.055201410552014107e-01,5.955414012738853291e-01
1.056557710565577124e-01,5.955414012738853291e-01
1.056557710565577124e-01,5.987261146496815067e-01
1.057914010579140140e-01,5.987261146496815067e-01
1.057914010579140140e-01,6.019108280254776844e-01
1.060626610606266174e-01,6.019108280254776844e-01
1.060626610606266174e-01,6.050955414012738620e-01
1.086396310863963072e-01,6.050955414012738620e-01
1.086396310863963072e-01,6.082802547770700397e-01
1.094534110945341171e-01,6.082802547770700397e-01
1.094534110945341171e-01,6.114649681528662173e-01
1.095890410958904049e-01,6.114649681528662173e-01
1.095890410958904049e-01,6.146496815286623949e-01
1.099959310999593098e-01,6.146496815286623949e-01
1.099959310999593098e-01,6.210191082802547502e-01
1.106740811067408042e-01,6.210191082802547502e-01
1.106740811067408042e-01,6.242038216560509278e-01
1.112166011121660109e-01,6.242038216560509278e-01
1.112166011121660109e-01,6.305732484076432831e-01
1.116234911162349158e-01,6.305732484076432831e-01
1.116234911162349158e-01,6.337579617834394607e-01
1.124372711243727119e-01,6.337579617834394607e-01
1.124372711243727119e-01,6.369426751592356384e-01
1.135223111352231112e-01,6.369426751592356384e-01
1.135223111352231112e-01,6.401273885350318160e-01
1.151498711514987172e-01,6.401273885350318160e-01
1.151498711514987172e-01,6.433121019108279937e-01
1.158280211582802116e-01,6.433121019108279937e-01
1.158280211582802116e-01,6.464968152866241713e-01
1.162349111623491166e-01,6.464968152866241713e-01
1.162349111623491166e-01,6.496815286624203489e-01
1.171843211718432143e-01,6.496815286624203489e-01
1.171843211718432143e-01,6.528662420382165266e-01
1.174555811745558176e-01,6.528662420382165266e-01
1.174555811745558176e-01,6.560509554140127042e-01
1.200325512003255074e-01,6.560509554140127042e-01
1.200325512003255074e-01,6.624203821656050595e-01
1.217957412179574150e-01,6.624203821656050595e-01
