fpr,tpr
5.904160373472470275e-03,7.388535031847133228e-01
5.904160373472470275e-03,7.547770700636943220e-01
6.041466428669504084e-03,7.547770700636943220e-01
6.041466428669504084e-03,7.611464968152866772e-01
6.590690649457641055e-03,7.611464968152866772e-01
6.590690649457641055e-03,7.643312101910828549e-01
6.727996704654674864e-03,7.643312101910828549e-01
6.727996704654674864e-03,7.675159235668790325e-01
7.963751201427983484e-03,7.675159235668790325e-01
7.963751201427983484e-03,7.707006369426752102e-01
8.101057256625016426e-03,7.707006369426752102e-01
8.101057256625016426e-03,7.738853503184713878e-01
8.787587532610188074e-03,7.738853503184713878e-01
8.787587532610188074e-03,7.802547770700637431e-01
8.924893587807222750e-03,7.802547770700637431e-01
8.924893587807222750e-03,7.834394904458599207e-01
9.199505698201290368e-03,7.834394904458599207e-01
9.199505698201290368e-03,7.898089171974522760e-01
9.336811753398325045e-03,7.898089171974522760e-01
9.336811753398325045e-03,7.929936305732484536e-01
1.043526019497459899e-02,7.929936305732484536e-01
1.043526019497459899e-02,8.025477707006369865e-01
1.057256625017163193e-02,8.025477707006369865e-01
1.057256625017163193e-02,8.057324840764331642e-01
1.084717836056570128e-02,8.057324840764331642e-01
1.084717836056570128e-02,8.089171974522293418e-01
1.125909652615680358e-02,8.089171974522293418e-01
1.125909652615680358e-02,8.121019108280255194e-01
1.139640258135383825e-02,8.121019108280255194e-01
1.139640258135383825e-02,8.216560509554140523e-01
1.153370863655087120e-02,8.216560509554140523e-01
1.153370863655087120e-02,8.248407643312102300e-01
1.249485102293011046e-02,8.248407643312102300e-01
1.249485102293011046e-02,8.280254777070064076e-01
1.290676918852121449e-02,8.280254777070064076e-01
1.290676918852121449e-02,8.343949044585987629e-01
1.318138129891528211e-02,8.343949044585987629e-01
1.318138129891528211e-02,8.375796178343949405e-01
1.345599340930934973e-02,8.375796178343949405e-01
1.345599340930934973e-02,8.407643312101911182e-01
1.386791157490045376e-02,8.407643312101911182e-01
1.386791157490045376e-02,8.439490445859872958e-01
1.400521763009748670e-02,8.439490445859872958e-01
1.400521763009748670e-02,8.503184713375796511e-01
1.427982974049155605e-02,8.503184713375796511e-01
1.427982974049155605e-02,8.535031847133758287e-01
1.441713579568859073e-02,8.535031847133758287e-01
1.441713579568859073e-02,8.598726114649681840e-01
1.524097212687079532e-02,8.598726114649681840e-01
1.524097212687079532e-02,8.630573248407643616e-01
1.565289029246189761e-02,8.630573248407643616e-01
1.565289029246189761e-02,8.662420382165605393e-01
1.606480845805300164e-02,8.662420382165605393e-01
1.606480845805300164e-02,8.694267515923567169e-01
1.675133873403817156e-02,8.694267515923567169e-01
1.675133873403817156e-02,8.726114649681528945e-01
1.730056295482630679e-02,8.726114649681528945e-01
1.730056295482630679e-02,8.757961783439490722e-01
1.757517506522037615e-02,8.757961783439490722e-01
1.757517506522037615e-02,8.789808917197452498e-01
1.894823561719071944e-02,8.789808917197452498e-01
